iter	R2	RMSE
0	0.05573576298	1.124734192
1	0.1079374809	1.093202896
2	0.1564829529	1.063041108
3	0.1990858447	1.035848191
4	0.2384821456	1.010050696
5	0.2753496646	0.9852974889
6	0.3084032592	0.9625639582
7	0.3384805259	0.941400542
8	0.3666397711	0.9211461083
9	0.3933760155	0.9014941562
10	0.418278608	0.882796585
11	0.4404791731	0.8657873889
12	0.4616692872	0.8492346508
13	0.4798002641	0.8348110536
14	0.496277991	0.8214830191
15	0.5133225395	0.8074650689
16	0.5278005462	0.7953638854
17	0.542496094	0.7828896115
18	0.5560492581	0.7712062139
19	0.5702744289	0.758750038
20	0.5838840592	0.7466383685
21	0.5937037869	0.7377759847
22	0.6031852068	0.7291167145
23	0.6122156609	0.7207725857
24	0.6211696541	0.7124026191
25	0.6289993691	0.7050021659
26	0.6358519134	0.6984609709
27	0.6428389984	0.6917276619
28	0.649532483	0.685215239
29	0.6552942118	0.6795593858
30	0.6608647493	0.6740460905
31	0.6677437076	0.6671749541
32	0.6742135001	0.660647307
33	0.6789485474	0.6558287433
34	0.6843343428	0.6503045533
35	0.6878773821	0.6466447375
36	0.691871905	0.6424935567
37	0.6976285198	0.6364635548
38	0.701355855	0.6325285453
39	0.7058587842	0.6277418295
40	0.7102703433	0.623016578
41	0.71412044	0.61886323
42	0.7165807904	0.6161944303
43	0.7194849375	0.6130292828
44	0.7225767076	0.6096415911
45	0.7245737116	0.6074434059
46	0.7267439239	0.605045508
47	0.7304142197	0.6009683738
48	0.7323998852	0.5987510318
49	0.7347643704	0.5960999135
50	0.7364854873	0.5941627163
51	0.7383250255	0.5920852231
52	0.7405209838	0.5895956199
53	0.7420315715	0.5878769146
54	0.7436715277	0.5860053106
55	0.7453626632	0.5840690169
56	0.746783277	0.5824374867
57	0.7478815845	0.5811729758
58	0.7501955739	0.5784997715
59	0.7523530625	0.5759961864
60	0.7542968135	0.573731271
61	0.7562758428	0.5714160251
62	0.7585867549	0.5687005838
63	0.7605317068	0.5664050757
64	0.76158191	0.5651617086
65	0.7632691826	0.5631583476
66	0.7643079075	0.5619214793
67	0.7654027747	0.5606148051
68	0.7661487522	0.5597227677
69	0.7680654363	0.5574242574
70	0.7690644249	0.5562224929
71	0.7705424008	0.5544397382
72	0.7715740234	0.5531919763
73	0.7726723063	0.5518604873
74	0.7741008471	0.5501237925
75	0.7755121249	0.548402684
76	0.7765195913	0.5471707276
77	0.7773926463	0.5461008853
78	0.7786493119	0.5445572763
79	0.7795290753	0.5434740211
80	0.7807476307	0.5419700341
81	0.7814814354	0.5410623278
82	0.7820925838	0.5403051819
83	0.7828796262	0.5393285567
84	0.7838796365	0.5380851069
85	0.7848196382	0.5369136483
86	0.7859783527	0.5354660966
87	0.7868657237	0.5343548758
88	0.7873256458	0.5337780227
89	0.7878807597	0.5330809447
90	0.7889594213	0.5317238146
91	0.7896433176	0.5308615656
92	0.7902375143	0.5301112703
93	0.790806956	0.5293912354
94	0.791430538	0.5286016174
95	0.7919917838	0.5278899233
96	0.7926027063	0.5271141439
97	0.7932801212	0.5262525921
98	0.7937878975	0.5256058646
99	0.7946040176	0.5245647452
100	0.7952281042	0.5237672056
101	0.7960820089	0.5226740026
102	0.7965143853	0.5221195841
103	0.7970692389	0.5214072544
104	0.7976823671	0.5206189773
105	0.7980963567	0.52008605
106	0.7984348446	0.5196499096
107	0.798923325	0.5190198583
108	0.7995908038	0.5181576928
109	0.8000264592	0.5175941932
110	0.8009201507	0.5164363212
111	0.8013199963	0.5159174376
112	0.8019093543	0.5151516687
113	0.8024830026	0.5144052172
114	0.8030315498	0.5136904135
115	0.8040627322	0.5123439958
116	0.8046610324	0.5115611691
117	0.805280275	0.5107496774
118	0.8062046998	0.5095358522
119	0.8067763977	0.5087837295
120	0.807168604	0.5082671011
121	0.8078255969	0.5074005078
122	0.8082689022	0.5068149377
123	0.8086292076	0.5063385047
124	0.8089527515	0.5059102992
125	0.8092081121	0.5055720773
126	0.8096274524	0.5050161748
127	0.8098793308	0.5046819754
128	0.8101505589	0.5043218546
129	0.810612017	0.5037085661
130	0.8111949279	0.5029327949
131	0.8116044736	0.5023870315
132	0.8119733122	0.5018950068
