iter	Passed	Remaining
0	6	1202
1	11	1092
2	15	1038
3	20	1011
4	25	1002
5	30	992
6	35	981
7	40	968
8	45	959
9	49	949
10	54	941
11	59	934
12	64	925
13	69	919
14	73	909
15	78	901
16	83	893
17	87	885
18	92	878
19	97	873
20	101	868
21	106	863
22	111	857
23	116	851
24	120	845
25	125	840
26	131	841
27	136	837
28	141	831
29	145	826
30	152	832
31	159	834
32	165	839
33	172	840
34	178	840
35	183	834
36	188	828
37	192	822
38	198	819
39	203	812
40	207	806
41	213	802
42	217	795
43	222	789
44	227	784
45	232	778
46	237	771
47	241	765
48	246	759
49	251	753
50	256	748
51	260	742
52	265	736
53	270	731
54	276	727
55	282	725
56	286	719
57	292	715
58	296	709
59	301	703
60	305	697
61	310	691
62	315	685
63	320	680
64	325	675
65	329	669
66	334	664
67	339	658
68	343	653
69	348	647
70	353	641
71	359	638
72	364	633
73	368	627
74	373	622
75	378	617
76	383	611
77	387	606
78	392	601
79	397	595
80	401	590
81	406	585
82	411	580
83	416	575
84	420	569
85	425	564
86	430	559
87	435	553
88	439	548
89	444	543
90	449	538
91	454	533
92	458	527
93	463	522
94	468	517
95	472	512
96	477	507
97	482	501
98	486	496
99	491	491
100	496	486
101	501	481
102	506	476
103	511	471
104	515	466
105	520	461
106	525	457
107	530	452
108	536	447
109	541	442
110	546	437
111	551	433
112	556	428
113	561	423
114	566	418
115	571	413
116	576	408
117	581	404
118	586	399
119	591	394
120	596	389
121	601	384
122	606	379
123	611	374
124	616	369
125	621	364
126	626	359
127	631	354
128	635	350
129	640	345
130	646	340
131	651	335
132	655	330
133	661	325
134	665	320
135	670	315
136	675	310
137	680	305
138	685	300
139	690	295
140	695	290
141	700	285
142	704	280
143	710	276
144	714	271
145	719	266
146	725	261
147	730	256
148	735	251
149	740	246
150	787	255
151	793	250
152	807	248
153	814	243
154	819	237
155	825	232
156	831	227
157	837	222
158	842	217
159	849	212
160	856	207
161	861	202
162	867	196
163	873	191
164	879	186
165	884	181
166	890	175
167	897	170
168	902	165
169	907	160
170	913	154
171	918	149
172	923	144
173	929	138
174	934	133
175	939	128
176	945	122
177	949	117
178	955	112
179	961	106
180	966	101
181	971	96
182	975	90
183	980	85
184	985	79
185	990	74
186	994	69
187	1000	63
188	1004	58
189	1009	53
190	1014	47
191	1019	42
192	1023	37
193	1028	31
194	1033	26
195	1038	21
196	1042	15
197	1047	10
198	1052	5
199	1057	0
